"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.986916647E-3;-8.299811985E-2;3.009561896E-3;4.840208173E-2;9.612755525E-2
1.691691659E-2;-1.004404281E-1;1.176174738E-2;4.413010597E-2;1.103362341E-1
2.684591664E-2;-9.584616113E-2;-4.022913605E-2;3.397115350E-2;1.093567980E-1
3.677591658E-2;-9.884824041E-2;-3.129970685E-2;2.963193476E-2;1.078364402E-1
4.670491663E-2;-8.735807793E-2;2.448024541E-2;3.382555783E-2;9.682398751E-2
5.663491657E-2;-9.517955113E-2;-2.476076558E-3;3.093527913E-2;1.001112851E-1
6.656391663E-2;-5.112122887E-2;6.659686267E-3;3.942485154E-2;6.490031110E-2
7.649391657E-2;-5.441951988E-2;-6.414614841E-3;3.263915777E-2;6.378045192E-2
8.642291662E-2;-2.579154748E-2;-4.310567379E-3;5.413469195E-2;6.011946262E-2
9.635291656E-2;3.609619155E-2;-5.434621498E-3;5.113448560E-2;6.282679184E-2
1.062819166E-1;6.041586237E-2;8.548263833E-3;8.031969309E-2;1.008682425E-1
1.162119167E-1;7.693796505E-2;-2.091987580E-3;9.024651110E-2;1.186096946E-1
1.261409166E-1;1.144711053E-1;-2.092002198E-2;8.563773572E-2;1.444821894E-1
1.360709167E-1;1.047921178E-1;-3.767938457E-2;8.365202129E-2;1.392795199E-1
1.459999166E-1;9.842923259E-2;-5.952100083E-2;5.931532502E-2;1.294193616E-1
1.559299167E-1;1.174321718E-1;-6.636187769E-2;8.482438803E-2;1.593404864E-1
1.658589166E-1;7.436137120E-2;-8.669147708E-2;2.940389335E-2;1.179390295E-1
1.757879166E-1;5.472970096E-2;-2.543166049E-2;7.712477446E-4;6.035482040E-2
1.857179166E-1;1.682151210E-2;1.509970352E-3;1.495834708E-2;2.256092700E-2
1.956469166E-1;-2.524299185E-2;1.933878869E-2;-3.302916706E-2;4.584891778E-2
2.055769166E-1;-3.095501120E-2;1.094445281E-2;-3.213161945E-2;4.593946815E-2
2.155059166E-1;-4.468306071E-2;1.803588286E-2;-1.271301627E-2;4.983462419E-2
2.254359166E-1;-6.170162855E-2;7.175264508E-3;-2.311989069E-2;6.628050039E-2
2.353649166E-1;-7.916601917E-2;6.634126626E-2;8.083190918E-3;1.036038618E-1
2.452949166E-1;-7.847411997E-2;5.054260120E-2;9.467226863E-3;9.382094875E-2
2.552239166E-1;-5.537958244E-2;3.327548102E-2;3.323557377E-2;7.265506969E-2
2.651539167E-1;-3.165574061E-2;7.930286229E-5;4.639531732E-2;5.616598322E-2
2.750829583E-1;-3.056176996E-2;-1.092194103E-2;5.232263982E-2;6.157084713E-2
2.850129582E-1;-1.931996339E-2;-9.207391217E-3;5.005216599E-2;5.443580034E-2
2.949419583E-1;-1.090251274E-2;-1.128826909E-2;5.266119361E-2;5.494989641E-2
3.048719583E-1;1.119986650E-2;-3.392225616E-2;4.740396202E-2;5.935732547E-2
3.148009583E-1;2.552728074E-2;-2.665182821E-2;3.439449191E-2;5.044742890E-2
3.247309583E-1;5.242715880E-2;-3.614712171E-2;3.122120798E-2;7.092238868E-2
3.346599583E-1;5.978676592E-2;-5.056116611E-2;2.111897349E-2;8.109808838E-2
3.445899583E-1;7.064457030E-2;-3.331670389E-2;1.515364408E-2;7.956312588E-2
3.545189583E-1;5.268870293E-2;-1.069623850E-2;1.530625641E-2;5.589982487E-2
3.644479583E-1;3.477763528E-2;1.489051938E-2;2.222702086E-2;4.387769296E-2
3.743779582E-1;2.348964942E-2;2.186347023E-2;2.257259130E-2;3.923387361E-2
3.843069583E-1;-5.440818176E-3;2.256411284E-2;4.538901150E-2;5.097944739E-2
3.942369582E-1;-2.440569341E-2;2.408248857E-2;4.170058787E-2;5.398650901E-2
4.041659583E-1;-4.528515033E-2;1.126414932E-2;3.819927514E-2;6.030597418E-2
4.140959582E-1;-4.187167374E-2;1.048968561E-2;4.971068859E-2;6.583633591E-2
4.240249583E-1;-2.928283315E-2;-4.950252771E-3;2.960094452E-2;4.193095797E-2
4.339549582E-1;-4.506372359E-2;-1.639756612E-2;4.204849720E-2;6.377848756E-2
4.438839583E-1;-3.902542275E-2;-3.154930986E-2;3.145626605E-2;5.922701451E-2
4.538139583E-1;-4.463452882E-2;-1.429476120E-2;3.023361325E-2;5.577322593E-2
4.637429583E-1;-3.933604238E-2;-1.056248344E-2;2.840928197E-2;4.965861042E-2
4.736729583E-1;-1.662042270E-2;6.908266023E-3;1.851754725E-2;2.582367414E-2
4.836019583E-1;-1.687365739E-2;1.629911363E-2;3.448220015E-2;4.170615717E-2
4.935319583E-1;-1.630208292E-3;-1.778942272E-3;2.648788691E-2;2.659756319E-2
5.034609583E-1;1.990533135E-2;-2.844933540E-2;2.758950233E-2;4.434825295E-2
5.133909583E-1;4.312654561E-2;-1.876327649E-2;3.134575367E-2;5.652004736E-2
5.233199582E-1;4.633073756E-2;-2.300506599E-2;2.893670082E-2;5.927143459E-2
5.332499583E-1;4.898868537E-2;-1.439372532E-2;4.490837038E-2;6.799876728E-2
5.431789582E-1;4.663643274E-2;-7.901781052E-4;3.866003573E-2;6.058200725E-2
5.531089583E-1;3.852851449E-2;1.138920665E-2;7.315568447E-2;8.346205502E-2
5.630379582E-1;1.529680037E-2;1.143181823E-2;6.358847022E-2;6.639406686E-2
5.729669583E-1;1.574617716E-2;-8.562150970E-3;9.634106398E-2;9.799414846E-2
5.828969582E-1;1.401648398E-3;-1.112016164E-2;9.728714347E-2;9.793064330E-2
5.928259583E-1;4.303203542E-3;8.435193300E-3;9.613114893E-2;9.659641734E-2
6.027559583E-1;4.947804250E-3;8.020333350E-3;8.856777549E-2;8.906771227E-2
6.126849583E-1;-7.295018225E-3;-1.306275286E-2;8.547635257E-2;8.677591631E-2
6.226149583E-1;-1.728535162E-2;-4.137548268E-2;1.227605385E-1;1.306937785E-1
6.325439583E-1;-4.147940323E-2;-4.158305883E-2;1.402659327E-1;1.520665103E-1
6.424739583E-1;-1.561230562E-2;-1.125779048E-2;1.415698618E-1;1.428723476E-1
6.524029583E-1;-3.453423580E-2;-2.081974223E-3;1.538846827E-1;1.577258495E-1
6.623329583E-1;-2.534648300E-2;1.796505846E-2;1.610253024E-1;1.639949254E-1
6.722619582E-1;-3.053879680E-3;9.283916652E-3;9.287483454E-2;9.338764469E-2
6.821919583E-1;-1.708017373E-3;-9.377545193E-3;9.481961846E-2;9.529751163E-2
6.921209582E-1;2.919043344E-2;-1.474799350E-2;7.400177658E-2;8.090641293E-2
7.020509583E-1;5.163666093E-2;-1.556375317E-2;-3.096100688E-3;5.402000559E-2
